chi-0_fa,chi-1_fa,chi-2_fa,chi-3_fa,chi-4_fa,chi-5_fa,Z-0_fa,Z-1_fa,Z-2_fa,Z-3_fa,Z-4_fa,Z-5_fa,I-0_fa,I-1_fa,I-2_fa,I-3_fa,I-4_fa,I-5_fa,T-0_fa,T-1_fa,T-2_fa,T-3_fa,T-4_fa,T-5_fa,S-0_fa,S-1_fa,S-2_fa,S-3_fa,S-4_fa,S-5_fa,chi-0_ma,chi-1_ma,chi-2_ma,chi-3_ma,chi-4_ma,chi-5_ma,Z-0_ma,Z-1_ma,Z-2_ma,Z-3_ma,Z-4_ma,Z-5_ma,I-0_ma,I-1_ma,I-2_ma,I-3_ma,I-4_ma,I-5_ma,T-0_ma,T-1_ma,T-2_ma,T-3_ma,T-4_ma,T-5_ma,S-0_ma,S-1_ma,S-2_ma,S-3_ma,S-4_ma,S-5_ma,chi-0_md,chi-1_md,chi-2_md,chi-3_md,chi-4_md,chi-5_md,Z-0_md,Z-1_md,Z-2_md,Z-3_md,Z-4_md,Z-5_md,I-0_md,I-1_md,I-2_md,I-3_md,I-4_md,I-5_md,T-0_md,T-1_md,T-2_md,T-3_md,T-4_md,T-5_md,S-0_md,S-1_md,S-2_md,S-3_md,S-4_md,S-5_md,distance,barrier,smiles,filename
304.3988,659.107,1097.486,1492.57,1818.315,2333.8316,7231.0,8494.0,10298.0,13380.0,14142.0,11012.0,50.0,106.0,176.0,246.0,296.0,370.0,282.0,728.0,1106.0,1398.0,1612.0,1840.0,21.7037,55.7978,86.9304,113.5552,134.70600000000002,155.2446,304.3988,659.107,1097.486,1492.57,1818.315,2333.8316,7231.0,8494.0,10298.0,13380.0,14142.0,11012.0,50.0,106.0,176.0,246.0,296.0,370.0,282.0,728.0,1106.0,1398.0,1612.0,1840.0,21.7037,55.7978,86.9304,113.5552,134.70600000000002,155.2446,304.3988,659.107,1097.486,1492.57,1818.315,2333.8316,7231.0,8494.0,10298.0,13380.0,14142.0,11012.0,50.0,106.0,176.0,246.0,296.0,370.0,282.0,728.0,1106.0,1398.0,1612.0,1840.0,21.7037,55.7978,86.9304,113.5552,134.70600000000002,155.2446,0.9936,18.5,[Ir]([n+]1ccncc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)(C#[N+][H])(F)[H],ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-hicn_1_fluoride_1_smi1_1_s_1
189.5149,386.412,646.3862,899.77,1327.3306,1018.5528,7617.0,10418.0,9850.0,8614.0,5330.0,2832.0,31.0,62.0,108.0,148.0,226.0,164.0,170.0,432.0,664.0,810.0,746.0,592.0,13.5135,34.5274,53.4532,68.324,72.7994,57.7648,189.5149,386.412,646.3862,899.77,1327.3306,1018.5528,7617.0,10418.0,9850.0,8614.0,5330.0,2832.0,31.0,62.0,108.0,148.0,226.0,164.0,170.0,432.0,664.0,810.0,746.0,592.0,13.5135,34.5274,53.4532,68.324,72.7994,57.7648,189.5149,386.412,646.3862,899.77,1327.3306,1018.5528,7617.0,10418.0,9850.0,8614.0,5330.0,2832.0,31.0,62.0,108.0,148.0,226.0,164.0,170.0,432.0,664.0,810.0,746.0,592.0,13.5135,34.5274,53.4532,68.324,72.7994,57.7648,0.9725,14.2,[Ir]([n+]1ccncc1)([As+](C)(C)C)(C#[N+][H])(N=C=O)[H],ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-hicn_1_dft-icn_1_smi1_1_s_1
335.5973,747.466,1271.3956,1712.7818,2155.0784,2817.758,7449.0,9618.0,11408.0,15862.0,16122.0,12580.0,58.0,122.0,212.0,292.0,368.0,480.0,334.0,866.0,1330.0,1720.0,2048.0,2318.0,23.7912,61.9998,98.871,131.5112,164.4226,191.5406,335.5973,747.466,1271.3956,1712.7818,2155.0784,2817.758,7449.0,9618.0,11408.0,15862.0,16122.0,12580.0,58.0,122.0,212.0,292.0,368.0,480.0,334.0,866.0,1330.0,1720.0,2048.0,2318.0,23.7912,61.9998,98.871,131.5112,164.4226,191.5406,335.5973,747.466,1271.3956,1712.7818,2155.0784,2817.758,7449.0,9618.0,11408.0,15862.0,16122.0,12580.0,58.0,122.0,212.0,292.0,368.0,480.0,334.0,866.0,1330.0,1720.0,2048.0,2318.0,23.7912,61.9998,98.871,131.5112,164.4226,191.5406,0.8202,9.3,[Ir]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([C-]1N(C)CCN(C)1)(C#[N+][H])(S)[H],ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-sh_1_smi1_1_s_1
224.5244,458.265,839.6968,1232.4132,1914.31,1886.817,7103.0,9998.0,10418.0,9814.0,5862.0,2712.0,41.0,80.0,156.0,220.0,344.0,336.0,236.0,612.0,940.0,1244.0,1340.0,1164.0,15.1551,40.382,67.4638,93.4426,110.778,92.8806,224.5244,458.265,839.6968,1232.4132,1914.31,1886.817,7103.0,9998.0,10418.0,9814.0,5862.0,2712.0,41.0,80.0,156.0,220.0,344.0,336.0,236.0,612.0,940.0,1244.0,1340.0,1164.0,15.1551,40.382,67.4638,93.4426,110.778,92.8806,224.5244,458.265,839.6968,1232.4132,1914.31,1886.817,7103.0,9998.0,10418.0,9814.0,5862.0,2712.0,41.0,80.0,156.0,220.0,344.0,336.0,236.0,612.0,940.0,1244.0,1340.0,1164.0,15.1551,40.382,67.4638,93.4426,110.778,92.8806,0.8466,7.2,[Ir]([P+](CC)(CC)CC)([P+](C)(C)C)(C#[N+][H])([Cl])[H],ir_tbp_1_dft-pet3_1_dft-pme3_1_dft-hicn_1_chloride_1_smi1_1_s_1
204.7611,433.073,755.163,862.0126,1006.9478,1052.7054,6663.0,5704.0,7688.0,9034.0,4978.0,3116.0,32.0,66.0,114.0,138.0,156.0,162.0,180.0,448.0,636.0,702.0,704.0,686.0,13.6312,34.0826,51.0258,60.4706,63.2008,60.7054,204.7611,433.073,755.163,862.0126,1006.9478,1052.7054,6663.0,5704.0,7688.0,9034.0,4978.0,3116.0,32.0,66.0,114.0,138.0,156.0,162.0,180.0,448.0,636.0,702.0,704.0,686.0,13.6312,34.0826,51.0258,60.4706,63.2008,60.7054,204.7611,433.073,755.163,862.0126,1006.9478,1052.7054,6663.0,5704.0,7688.0,9034.0,4978.0,3116.0,32.0,66.0,114.0,138.0,156.0,162.0,180.0,448.0,636.0,702.0,704.0,686.0,13.6312,34.0826,51.0258,60.4706,63.2008,60.7054,0.984,19.0,[Ir]([N+]1=COCC1)([n+]1ccccc1)(C#[N+]C)(N=C=O)[H],ir_tbp_1_dft-oxaz_1_dft-py_1_dft-iacn_1_dft-icn_1_smi1_1_s_1
187.5013,382.636,692.0542,864.0218,1236.8146,847.6632,6687.0,7162.0,7888.0,7000.0,3410.0,1768.0,31.0,62.0,114.0,140.0,204.0,136.0,176.0,440.0,648.0,720.0,652.0,598.0,12.2626,32.1434,50.1388,60.0374,61.0926,45.7342,187.5013,382.636,692.0542,864.0218,1236.8146,847.6632,6687.0,7162.0,7888.0,7000.0,3410.0,1768.0,31.0,62.0,114.0,140.0,204.0,136.0,176.0,440.0,648.0,720.0,652.0,598.0,12.2626,32.1434,50.1388,60.0374,61.0926,45.7342,187.5013,382.636,692.0542,864.0218,1236.8146,847.6632,6687.0,7162.0,7888.0,7000.0,3410.0,1768.0,31.0,62.0,114.0,140.0,204.0,136.0,176.0,440.0,648.0,720.0,652.0,598.0,12.2626,32.1434,50.1388,60.0374,61.0926,45.7342,0.9719,18.1,[Ir]([P+](C)(C)C)(n1ccnc1)(C#[N+]C)(F)[H],ir_tbp_1_dft-pme3_1_dft-iz_1_dft-iacn_1_fluoride_1_smi1_1_s_1
195.2282,413.707,686.169,778.2678,910.3718,998.0508,6659.0,5682.0,7628.0,8684.0,5028.0,2904.0,30.0,62.0,102.0,122.0,140.0,152.0,164.0,404.0,570.0,636.0,646.0,614.0,13.3566,32.9282,48.2426,56.3958,59.9216,57.444,195.2282,413.707,686.169,778.2678,910.3718,998.0508,6659.0,5682.0,7628.0,8684.0,5028.0,2904.0,30.0,62.0,102.0,122.0,140.0,152.0,164.0,404.0,570.0,636.0,646.0,614.0,13.3566,32.9282,48.2426,56.3958,59.9216,57.444,195.2282,413.707,686.169,778.2678,910.3718,998.0508,6659.0,5682.0,7628.0,8684.0,5028.0,2904.0,30.0,62.0,102.0,122.0,140.0,152.0,164.0,404.0,570.0,636.0,646.0,614.0,13.3566,32.9282,48.2426,56.3958,59.9216,57.444,0.9752,20.1,[Ir]([n+]1ccncc1)(n1ccnc1)(C#[N+]C)(N=C=O)[H],ir_tbp_1_dft-pyz_1_dft-iz_1_dft-iacn_1_dft-icn_1_smi1_1_s_1
212.2875,463.251,842.1414,998.1476,1228.9644,1360.0266,6603.0,5374.0,8028.0,8914.0,4938.0,2820.0,35.0,72.0,132.0,162.0,204.0,224.0,204.0,518.0,772.0,902.0,932.0,856.0,13.6459,35.2708,55.3484,68.0362,76.0888,70.5928,212.2875,463.251,842.1414,998.1476,1228.9644,1360.0266,6603.0,5374.0,8028.0,8914.0,4938.0,2820.0,35.0,72.0,132.0,162.0,204.0,224.0,204.0,518.0,772.0,902.0,932.0,856.0,13.6459,35.2708,55.3484,68.0362,76.0888,70.5928,212.2875,463.251,842.1414,998.1476,1228.9644,1360.0266,6603.0,5374.0,8028.0,8914.0,4938.0,2820.0,35.0,72.0,132.0,162.0,204.0,224.0,204.0,518.0,772.0,902.0,932.0,856.0,13.6459,35.2708,55.3484,68.0362,76.0888,70.5928,0.9575,10.0,[Ir]([N+]1=COCC1)([C-]1N(C)CCN(C)1)(C#[N+][H])(C#C[H])[H],ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1
202.416,407.874,775.2766,1039.356,1718.0970000000002,1075.158,7507.0,10484.0,9810.0,7456.0,3618.0,1632.0,35.0,68.0,132.0,172.0,296.0,180.0,200.0,504.0,772.0,944.0,890.0,756.0,12.7251,33.7704,54.7384,73.2896,77.806,54.6228,202.416,407.874,775.2766,1039.356,1718.0970000000002,1075.158,7507.0,10484.0,9810.0,7456.0,3618.0,1632.0,35.0,68.0,132.0,172.0,296.0,180.0,200.0,504.0,772.0,944.0,890.0,756.0,12.7251,33.7704,54.7384,73.2896,77.806,54.6228,202.416,407.874,775.2766,1039.356,1718.0970000000002,1075.158,7507.0,10484.0,9810.0,7456.0,3618.0,1632.0,35.0,68.0,132.0,172.0,296.0,180.0,200.0,504.0,772.0,944.0,890.0,756.0,12.7251,33.7704,54.7384,73.2896,77.806,54.6228,0.9732,16.3,[Ir]([As+](C)(C)C)([N+](C)(C)C)(C#[N+]C)(F)[H],ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_fluoride_1_smi1_1_s_1
197.7853,414.619,739.7068,960.6896,1420.8514,1120.208,7797.0,11768.0,10210.0,9460.0,5892.0,2638.0,34.0,68.0,126.0,158.0,246.0,184.0,194.0,488.0,738.0,894.0,850.0,760.0,13.9458,36.364,58.0418,72.4438,81.225,61.4884,197.7853,414.619,739.7068,960.6896,1420.8514,1120.208,7797.0,11768.0,10210.0,9460.0,5892.0,2638.0,34.0,68.0,126.0,158.0,246.0,184.0,194.0,488.0,738.0,894.0,850.0,760.0,13.9458,36.364,58.0418,72.4438,81.225,61.4884,197.7853,414.619,739.7068,960.6896,1420.8514,1120.208,7797.0,11768.0,10210.0,9460.0,5892.0,2638.0,34.0,68.0,126.0,158.0,246.0,184.0,194.0,488.0,738.0,894.0,850.0,760.0,13.9458,36.364,58.0418,72.4438,81.225,61.4884,0.9159,8.3,[Ir]([As+](C)(C)C)([C-]1N(C)C=CN(C)1)(C#[N+][H])([Cl])[H],ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_chloride_1_smi1_1_s_1
166.7321,355.36800000000005,593.8728,705.3936,765.944,712.84,7733.0,9778.0,7730.0,8218.0,6344.0,2884.0,26.0,54.0,88.0,110.0,124.0,112.0,142.0,352.0,500.0,562.0,496.0,400.0,12.6941,30.6088,45.1796,53.7748,53.043,42.31800000000001,166.7321,355.36800000000005,593.8728,705.3936,765.944,712.84,7733.0,9778.0,7730.0,8218.0,6344.0,2884.0,26.0,54.0,88.0,110.0,124.0,112.0,142.0,352.0,500.0,562.0,496.0,400.0,12.6941,30.6088,45.1796,53.7748,53.043,42.31800000000001,166.7321,355.36800000000005,593.8728,705.3936,765.944,712.84,7733.0,9778.0,7730.0,8218.0,6344.0,2884.0,26.0,54.0,88.0,110.0,124.0,112.0,142.0,352.0,500.0,562.0,496.0,400.0,12.6941,30.6088,45.1796,53.7748,53.043,42.31800000000001,0.8626,11.6,[Ir]([n+]1ccncc1)([n+]1ccncc1)(C#[N+][H])([Br])[H],ir_tbp_1_dft-pyz_1_dft-pyz_1_dft-hicn_1_bromide_1_smi1_1_s_1
171.2229,357.766,581.4402,796.8838,833.2692,773.757,6759.0,6794.0,8268.0,7182.0,5084.0,2596.0,28.0,58.0,96.0,132.0,138.0,124.0,154.0,394.0,570.0,632.0,554.0,444.0,13.2791,33.2312,50.1808,60.0834,56.9908,47.6678,171.2229,357.766,581.4402,796.8838,833.2692,773.757,6759.0,6794.0,8268.0,7182.0,5084.0,2596.0,28.0,58.0,96.0,132.0,138.0,124.0,154.0,394.0,570.0,632.0,554.0,444.0,13.2791,33.2312,50.1808,60.0834,56.9908,47.6678,171.2229,357.766,581.4402,796.8838,833.2692,773.757,6759.0,6794.0,8268.0,7182.0,5084.0,2596.0,28.0,58.0,96.0,132.0,138.0,124.0,154.0,394.0,570.0,632.0,554.0,444.0,13.2791,33.2312,50.1808,60.0834,56.9908,47.6678,1.0068,12.3,[Ir]([p+]1ccccc1)([n+]1ccccc1)(C#[O+])(C#N)[H],ir_tbp_1_dft-phos_1_dft-py_1_dft-co_1_dft-cn_1_smi1_1_s_1
180.4224,368.675,688.5878,974.2922,1612.965,913.968,6813.0,8190.0,9014.0,6438.0,2600.0,972.0,32.0,62.0,120.0,166.0,290.0,156.0,182.0,468.0,742.0,902.0,800.0,552.0,11.9939,31.1242,51.50899999999999,72.5734,75.1594,44.178,180.4224,368.675,688.5878,974.2922,1612.965,913.968,6813.0,8190.0,9014.0,6438.0,2600.0,972.0,32.0,62.0,120.0,166.0,290.0,156.0,182.0,468.0,742.0,902.0,800.0,552.0,11.9939,31.1242,51.50899999999999,72.5734,75.1594,44.178,180.4224,368.675,688.5878,974.2922,1612.965,913.968,6813.0,8190.0,9014.0,6438.0,2600.0,972.0,32.0,62.0,120.0,166.0,290.0,156.0,182.0,468.0,742.0,902.0,800.0,552.0,11.9939,31.1242,51.50899999999999,72.5734,75.1594,44.178,0.8690000000000001,8.7,[Ir]([P+](C)(C)C)([N+](C)(C)C)(C#[N+][H])([Cl])[H],ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_chloride_1_smi1_1_s_1
361.2688,776.4730000000002,1318.812,1912.8776,2613.3858,3570.1764,7715.0,10100.0,13416.0,18882.0,17666.0,14884.0,63.0,130.0,230.0,336.0,448.0,608.0,360.0,944.0,1458.0,1984.0,2444.0,2768.0,25.9192,66.6276,107.6232,150.5972,194.8276,233.2482,361.2688,776.4730000000002,1318.812,1912.8776,2613.3858,3570.1764,7715.0,10100.0,13416.0,18882.0,17666.0,14884.0,63.0,130.0,230.0,336.0,448.0,608.0,360.0,944.0,1458.0,1984.0,2444.0,2768.0,25.9192,66.6276,107.6232,150.5972,194.8276,233.2482,361.2688,776.4730000000002,1318.812,1912.8776,2613.3858,3570.1764,7715.0,10100.0,13416.0,18882.0,17666.0,14884.0,63.0,130.0,230.0,336.0,448.0,608.0,360.0,944.0,1458.0,1984.0,2444.0,2768.0,25.9192,66.6276,107.6232,150.5972,194.8276,233.2482,0.9091,11.2,[Ir]([P+](CC)(CC)CC)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)(C#[O+])(N=C=S)[H],ir_tbp_1_dft-pet3_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1
